id,type,challenge_id,content,cost,requirements
1,standard,1,CTF_D7BFA2DA,3,{'prerequisites': []}
2,standard,1,CTF_F7933861,2,{'prerequisites': [1]}
3,standard,10,CTF_F832EB18,3,{'prerequisites': []}
4,standard,2,CTF_4E8C4D6C,3,{'prerequisites': []}
5,standard,3,CTF_EB0DD644,3,{'prerequisites': []}
6,standard,4,CTF_5C21DA28,3,{'prerequisites': []}
7,standard,5,CTF_25BCA875,3,{'prerequisites': []}
9,standard,7,CTF_FD13BC3B,3,{'prerequisites': []}
10,standard,8,CTF_C3EBDAA6,3,{'prerequisites': []}
11,standard,11,CTF_A352A98A,3,{'prerequisites': []}
12,standard,12,CTF_97D2504D,3,{'prerequisites': []}
13,standard,14,CTF_9549691E,3,{'prerequisites': []}
14,standard,14,CTF_2C592D9B,2,{'prerequisites': [13]}
15,standard,15,CTF_55BCC5CD,3,{'prerequisites': []}
16,standard,15,CTF_2DF0F63D,2,{'prerequisites': [15]}
17,standard,16,CTF_6DA66387,3,{'prerequisites': []}
18,standard,16,CTF_3A6503A1,2,{'prerequisites': [17]}
19,standard,17,CTF_5FA8DADC,3,{'prerequisites': []}
20,standard,17,CTF_01418841,2,{'prerequisites': [19]}
21,standard,17,CTF_5C5F7682,1,"{'prerequisites': [19, 20]}"
22,standard,19,CTF_86B58F54,3,{'prerequisites': []}
23,standard,19,CTF_9C7FA40C,2,{'prerequisites': [22]}
24,standard,19,CTF_90014BDC,1,"{'prerequisites': [22, 23]}"
25,standard,18,CTF_78D7F231,3,{'prerequisites': []}
26,standard,18,CTF_429132FF,1,{'prerequisites': [25]}
