CountryCode,Country,CountrySort,CountryTranslationEnglish,CountryTranslationSpanish,CountryTranslationFrench,CountryTranslationGerman
IE,Ireland,1,Ireland,Irlanda,Irlande,Irland
PT,Portugal,2,Portugal,Portugal,Portugal,Portugal
GB,England,3,England,Inglaterra,Angleterre,England
ES,Spain,4,Spain,España,Espagne,Spanien
FR,France,5,France,Francia,France,Frankreich
BE,Belgium,6,Belgium,Bélgica,Belgique,Belgien
NL,Netherlands,7,Netherlands,Países Bajos,Pays-Bas,Niederlande
CH,Switzerland,8,Switzerland,Suiza,Suisse,Schweiz
DE,Germany,9,Germany,Alemania,Allemagne,Deutschland
IT,Italy,10,Italy,Italia,Italie,Italien
