Object Type,Property,Name,English [en-US],Dutch [nl-NL]
Table,Caption,Customers,Customers,Klanten
Column,Caption,Customers[City],City,Stad
Column,Caption,Customers[Customer],Customer,Klant
Column,Caption,Customers[Country],Country,Land
Column,Caption,Customers[City Location],City Location,Locatie
Column,Caption,Customers[Flag],Flag,Vlag
Column,Caption,Customers[Age],Age,Leeftijd
Table,Caption,Sales,Sales,Verkoop
Measure,Caption,Sales[Sales Revenue],Sales Revenue,Omzet
Measure,Caption,Sales[Units Sold],Units Sold,Verkochte Eenheden
Measure,Caption,Sales[Customers],Customers,Klanten
Measure,Caption,Sales[First Sale],First Sale,Eerste Verkoop
Measure,Caption,Sales[Last Sale],Last Sale,Laatste Verkoop
Measure,Caption,Sales[Orders],Orders,Orders
Measure,Caption,Sales[Ranking],Ranking,Rangorde
Measure,Caption,Sales[Rank],Rank,Rang
Table,Caption,Products,Products,Producten
Column,Caption,Products[Product],Product,Product
Column,Caption,Products[Price],Price,Prijs
Column,Caption,Products[Product Image],Product Image,Productafbeelding
Column,Caption,Products[Category],Category,Categorie
Table,Caption,Calendar,Calendar,Kalender
Column,Caption,Calendar[Date],Date,Datum
Column,Caption,Calendar[Year],Year,Jaar
Column,Caption,Calendar[Quarter],Quarter,Wijk
Column,Caption,Calendar[Month],Month,Maand
Column,Caption,Calendar[Day],Day,Dag
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,Productverkooprapport
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,Verkoopoverzicht
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,Verkoop Per Land
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,Verkoop Per Product
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,Filter per Land
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,Top 10 Klanten
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,Productcatalogus
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,Productfilter Instellen
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,Landfilter Instellen
Measure,Caption,Localized Labels[Time Slices],Time Slices,Tijdsegmenten
