CountryCode,Country,CountrySort,CountryTranslationEnglish,CountryTranslationSpanish,CountryTranslationFrench,CountryTranslationGerman,CountryTranslationDutch,CountryTranslationItalian,CountryTranslationPortuguese,CountryTranslationGreek,CountryTranslationRussian,CountryTranslationJapanese,CountryTranslationChinese,CountryTranslationHindi,CountryTranslationHebrew,CountryTranslationAfrikaans
IE,Ireland,1,Ireland,Irlanda,Irlande,Irland,Ierland,Irlanda,Irlanda,Ιρλανδία,Ирландия,アイルランド,爱尔兰,आयरलैंड,אירלנד,Ierland
PT,Portugal,2,Portugal,Portugal,Portugal,Portugal,Portugal,Portogallo,Portugal,Πορτογαλία,Португалия,ポルトガル,葡萄牙,पुर्तगाल,פורטוגל,Portugal
GB,England,3,England,Inglaterra,Angleterre,England,Engeland,Inghilterra,Inglaterra,Αγγλία,Англия,イングランド,英国,इंग्लैंड,אנגליה,Engeland
ES,Spain,4,Spain,España,Espagne,Spanien,Spanje,Spagna,Espanha,Ισπανία,Испания,スペイン,西班牙,स्पेन,ספרד,Spanje
FR,France,5,France,Francia,France,Frankreich,Frankrijk,Francia,França,Γαλλία,Франция,フランス,法国,फ़्रांस,צרפת,Frankryk
BE,Belgium,6,Belgium,Bélgica,Belgique,Belgien,België,Belgio,Bélgica,Βέλγιο,Бельгия,ベルギー,比利时,बेल्जियम,בלגיה,België
NL,Netherlands,7,Netherlands,Países Bajos,Pays-Bas,Niederlande,Nederland,Paesi Bassi,Países Baixos,Ολλανδία,Нидерланды,オランダ,荷兰,नीदरलैंड,הולנד,Nederlands
CH,Switzerland,8,Switzerland,Suiza,Suisse,Schweiz,Zwitserland,Svizzera,Suíça,Ελβετία,Швейцария,スイス,瑞士,स्विट्ज़रलैंड,שוויץ,Switserland
DE,Germany,9,Germany,Alemania,Allemagne,Deutschland,Duitsland,Germania,Alemanha,Γερμανία,Германия,ドイツ,德国,जर्मनी,גרמניה,Duitsland
IT,Italy,10,Italy,Italia,Italie,Italien,Italië,Italia,Itália,Ιταλία,Италия,イタリア,意大利,इटली,איטליה,Italië
